Word,Concreteness,Frequency,Dom_Pos
sled,5.0,149,Adjective
plunger,4.96,48,Adjective
human,4.93,6363,Adjective
waterbed,4.93,27,Adjective
cymbal,4.92,13,Adjective
ginger,4.92,327,Adjective
bobsled,4.9,48,Adjective
cardboard,4.9,138,Adjective
olive,4.9,375,Adjective
dogsled,4.89,2,Adjective
rubber,4.86,714,Adjective
soybean,4.82,25,Adjective
tangerine,4.81,38,Adjective
headrest,4.8,6,Adjective
eucalyptus,4.77,25,Adjective
saltwater,4.77,31,Adjective
armrest,4.76,8,Adjective
paramedic,4.74,107,Adjective
liquid,4.72,395,Adjective
billfold,4.71,12,Adjective
canine,4.71,86,Adjective
flowerbed,4.71,6,Adjective
soy,4.7,118,Adjective
bald,4.69,496,Adjective
lilac,4.69,39,Adjective
hemorrhoid,4.68,18,Adjective
orange,4.66,1138,Adjective
arachnid,4.65,13,Adjective
underarm,4.63,4,Adjective
barefoot,4.62,121,Adjective
bearded,4.62,65,Adjective
thyroid,4.61,28,Adjective
wooden,4.61,367,Adjective
sleeveless,4.6,5,Adjective
concrete,4.59,379,Adjective
panty,4.59,53,Adjective
pregnant,4.59,2653,Adjective
helmeted,4.58,1,Adjective
hula,4.58,100,Adjective
female,4.57,1612,Adjective
crematory,4.56,14,Adjective
pigtailed,4.55,2,Adjective
sphincter,4.54,57,Adjective
backrest,4.52,1,Adjective
blonde,4.52,710,Adjective
farmhand,4.52,3,Adjective
fat,4.52,4051,Adjective
hairless,4.52,30,Adjective
afghan,4.5,29,Adjective
binocular,4.5,1,Adjective
naked,4.5,2002,Adjective
hairy,4.48,322,Adjective
saline,4.48,175,Adjective
sudsy,4.48,3,Adjective
wet,4.46,2000,Adjective
wooded,4.46,17,Adjective
male,4.45,1731,Adjective
rusted,4.44,36,Adjective
aquamarine,4.43,23,Adjective
shirtless,4.43,14,Adjective
headless,4.42,67,Adjective
solid,4.42,998,Adjective
beaded,4.41,11,Adjective
blond,4.41,533,Adjective
soapy,4.41,25,Adjective
woodcutting,4.41,1,Adjective
prosthetic,4.4,34,Adjective
roast,4.4,499,Adjective
tartar,4.4,76,Adjective
newborn,4.39,128,Adjective
feline,4.38,46,Adjective
undercooked,4.38,9,Adjective
vertebrate,4.38,7,Adjective
bloodstained,4.37,16,Adjective
flatbed,4.37,21,Adjective
joint,4.37,1405,Adjective
preschool,4.37,61,Adjective
beardless,4.36,8,Adjective
indigo,4.36,16,Adjective
frozen,4.34,782,Adjective
barefooted,4.33,9,Adjective
hashish,4.33,23,Adjective
jeweled,4.33,15,Adjective
mummified,4.33,14,Adjective
paralegal,4.33,50,Adjective
pleated,4.33,4,Adjective
puffy,4.33,86,Adjective
grassy,4.32,32,Adjective
muddy,4.32,153,Adjective
mustached,4.32,1,Adjective
rainy,4.32,194,Adjective
roundtable,4.32,3,Adjective
uncircumcised,4.32,14,Adjective
acrylic,4.31,23,Adjective
bottled,4.31,133,Adjective
hot,4.31,9682,Adjective
sunlit,4.31,9,Adjective
euro,4.3,31,Adjective
giant,4.3,1380,Adjective
yellow,4.3,1724,Adjective
capillary,4.29,12,Adjective
dark,4.29,4519,Adjective
decimal,4.29,42,Adjective
freshwater,4.29,35,Adjective
pimpled,4.29,2,Adjective
pygmy,4.29,33,Adjective
redheaded,4.29,45,Adjective
wrinkled,4.29,86,Adjective
abdominal,4.28,174,Adjective
bobsledder,4.28,5,Adjective
nude,4.28,301,Adjective
gunmetal,4.27,2,Adjective
bloodshot,4.26,26,Adjective
thorny,4.26,36,Adjective
toothless,4.26,28,Adjective
civilian,4.25,479,Adjective
handmade,4.25,46,Adjective
marine,4.25,718,Adjective
octagonal,4.25,6,Adjective
quilted,4.25,4,Adjective
snowy,4.25,54,Adjective
unshaved,4.25,2,Adjective
dishwashing,4.24,17,Adjective
red,4.24,7551,Adjective
seamed,4.24,1,Adjective
treeless,4.24,2,Adjective
unshaven,4.24,6,Adjective
dirty,4.23,3389,Adjective
grilled,4.23,114,Adjective
caged,4.22,83,Adjective
icy,4.22,135,Adjective
scaly,4.22,16,Adjective
cubical,4.21,1,Adjective
houseguest,4.21,24,Adjective
padded,4.21,55,Adjective
seedless,4.21,10,Adjective
sunny,4.2,391,Adjective
automotive,4.19,33,Adjective
baked,4.19,341,Adjective
bowlegged,4.19,12,Adjective
dewy,4.19,12,Adjective
genital,4.19,27,Adjective
khaki,4.19,42,Adjective
sequined,4.19,14,Adjective
duplex,4.18,24,Adjective
longhaired,4.18,8,Adjective
sweaty,4.18,226,Adjective
forehand,4.17,5,Adjective
unshelled,4.17,2,Adjective
furrier,4.16,13,Adjective
stutterer,4.16,1,Adjective
centerfold,4.15,34,Adjective
infomercial,4.15,31,Adjective
leftover,4.15,61,Adjective
chalky,4.14,6,Adjective
crusty,4.14,54,Adjective
naval,4.14,292,Adjective
skintight,4.14,8,Adjective
tanned,4.14,31,Adjective
toeless,4.14,1,Adjective
whiskered,4.14,3,Adjective
swelling,4.13,161,Adjective
silky,4.12,40,Adjective
unpaved,4.12,3,Adjective
wastewater,4.12,1,Adjective
corded,4.11,1,Adjective
eyeless,4.11,3,Adjective
fried,4.11,518,Adjective
grey,4.11,469,Adjective
manicured,4.11,18,Adjective
minty,4.11,25,Adjective
multicolored,4.11,8,Adjective
perforated,4.11,24,Adjective
quadriplegic,4.11,1,Adjective
rectangular,4.11,22,Adjective
sockless,4.11,1,Adjective
sole,4.11,268,Adjective
topless,4.11,100,Adjective
bifocal,4.1,1,Adjective
waxy,4.1,20,Adjective
bicuspid,4.09,5,Adjective
fluorine,4.09,5,Adjective
bloody,4.08,1962,Adjective
starry,4.08,37,Adjective
sugared,4.08,9,Adjective
bathing,4.07,379,Adjective
blooming,4.07,81,Adjective
breaded,4.07,11,Adjective
bronzed,4.07,17,Adjective
creaky,4.07,12,Adjective
dead,4.07,22898,Adjective
dorsal,4.07,27,Adjective
earless,4.07,4,Adjective
green,4.07,3696,Adjective
hieroglyphic,4.07,7,Adjective
legless,4.07,6,Adjective
pubic,4.07,60,Adjective
spiky,4.07,11,Adjective
stagehand,4.07,28,Adjective
tabloid,4.07,56,Adjective
taller,4.07,284,Adjective
triangular,4.07,12,Adjective
underground,4.07,613,Adjective
bioluminescent,4.05,3,Adjective
blinder,4.04,6,Adjective
ceramic,4.04,62,Adjective
crispy,4.04,116,Adjective
cupful,4.04,1,Adjective
freezing,4.04,680,Adjective
glazed,4.04,50,Adjective
lounger,4.04,3,Adjective
minced,4.04,4,Adjective
oval,4.04,69,Adjective
overcast,4.04,24,Adjective
pebbled,4.04,1,Adjective
purple,4.04,629,Adjective
scarlet,4.04,167,Adjective
serrated,4.04,12,Adjective
smoky,4.04,34,Adjective
stinging,4.04,46,Adjective
striped,4.04,87,Adjective
stubbly,4.04,2,Adjective
aboveground,4.03,7,Adjective
blind,4.03,2337,Adjective
metallic,4.03,67,Adjective
salted,4.03,29,Adjective
bipedal,4.0,9,Adjective
cloudy,4.0,110,Adjective
colored,4.0,377,Adjective
comic,4.0,552,Adjective
crimson,4.0,67,Adjective
evergreen,4.0,10,Adjective
featherless,4.0,2,Adjective
frosted,4.0,41,Adjective
horned,4.0,27,Adjective
invertebrate,4.0,1,Adjective
mashed,4.0,188,Adjective
mauve,4.0,27,Adjective
meatpacking,4.0,12,Adjective
military,4.0,2103,Adjective
moist,4.0,92,Adjective
paraplegic,4.0,24,Adjective
pastel,4.0,14,Adjective
plump,4.0,75,Adjective
reclining,4.0,22,Adjective
solar,4.0,236,Adjective
sweet,4.0,7405,Adjective
thick,4.0,713,Adjective
typewritten,4.0,8,Adjective
unpeeled,4.0,2,Adjective
collarless,3.97,1,Adjective
deceased,3.97,321,Adjective
hexagonal,3.97,5,Adjective
pointy,3.97,104,Adjective
springy,3.97,5,Adjective
steroid,3.97,20,Adjective
unbuckled,3.97,12,Adjective
cursive,3.96,4,Adjective
diagonal,3.96,27,Adjective
equestrian,3.96,20,Adjective
feathered,3.96,34,Adjective
flaming,3.96,130,Adjective
furry,3.96,122,Adjective
fuzzy,3.96,297,Adjective
hind,3.96,125,Adjective
humpbacked,3.96,7,Adjective
juicy,3.96,219,Adjective
pyrotechnic,3.96,2,Adjective
stormy,3.96,74,Adjective
woolly,3.96,24,Adjective
stationary,3.95,49,Adjective
slippery,3.94,225,Adjective
anesthetic,3.93,68,Adjective
balding,3.93,28,Adjective
bovine,3.93,22,Adjective
fecal,3.93,30,Adjective
frilly,3.93,16,Adjective
glittering,3.93,16,Adjective
greased,3.93,68,Adjective
handheld,3.93,20,Adjective
inflated,3.93,26,Adjective
interstate,3.93,110,Adjective
laminated,3.93,18,Adjective
moldy,3.93,30,Adjective
northeastern,3.93,16,Adjective
outdoor,3.93,93,Adjective
pink,3.93,1452,Adjective
salty,3.93,127,Adjective
scrambled,3.93,367,Adjective
sculptured,3.93,3,Adjective
slim,3.93,605,Adjective
strapless,3.93,20,Adjective
volcanic,3.93,57,Adjective
watermarked,3.93,2,Adjective
watery,3.93,36,Adjective
braless,3.92,1,Adjective
bright,3.92,2265,Adjective
deepwater,3.92,3,Adjective
fleshless,3.92,6,Adjective
forkful,3.92,1,Adjective
hardboiled,3.92,3,Adjective
metacarpal,3.92,7,Adjective
subtotal,3.92,2,Adjective
taut,3.92,35,Adjective
pickled,3.91,76,Adjective
frosty,3.9,121,Adjective
gated,3.9,13,Adjective
hooded,3.9,15,Adjective
jellied,3.9,5,Adjective
motorized,3.9,15,Adjective
phosphorous,3.9,12,Adjective
recycled,3.9,43,Adjective
round,3.9,3393,Adjective
unsalted,3.9,3,Adjective
velvety,3.9,8,Adjective
bulletproof,3.89,130,Adjective
coastal,3.89,43,Adjective
contraceptive,3.89,17,Adjective
dimpled,3.89,10,Adjective
leafy,3.89,24,Adjective
prickly,3.89,29,Adjective
sugarless,3.89,9,Adjective
sugary,3.89,15,Adjective
white,3.89,8744,Adjective
apache,3.88,251,Adjective
backhand,3.88,37,Adjective
frothy,3.88,12,Adjective
haired,3.88,12,Adjective
hilly,3.88,62,Adjective
powdered,3.88,107,Adjective
soft,3.88,1633,Adjective
umbilical,3.88,62,Adjective
waxed,3.88,69,Adjective
wigless,3.88,1,Adjective
rotten,3.87,891,Adjective
chemical,3.86,579,Adjective
florescent,3.86,5,Adjective
fluffy,3.86,185,Adjective
freckled,3.86,6,Adjective
roundabout,3.86,22,Adjective
sharp,3.86,1213,Adjective
smashing,3.86,169,Adjective
stillborn,3.86,15,Adjective
thirsty,3.86,627,Adjective
uncooked,3.86,5,Adjective
windowless,3.86,10,Adjective
windy,3.86,134,Adjective
woolen,3.86,29,Adjective
antiseptic,3.85,44,Adjective
cold,3.85,6638,Adjective
crisper,3.85,9,Adjective
curdled,3.85,8,Adjective
gloved,3.85,8,Adjective
meatless,3.85,8,Adjective
southernmost,3.85,4,Adjective
jaundiced,3.84,11,Adjective
maroon,3.84,61,Adjective
varicose,3.84,14,Adjective
webbed,3.84,17,Adjective
autographed,3.83,60,Adjective
cordless,3.83,20,Adjective
frizzy,3.83,18,Adjective
gymnastic,3.83,3,Adjective
nasal,3.83,106,Adjective
oily,3.83,49,Adjective
rough,3.83,1907,Adjective
soldering,3.83,20,Adjective
spherical,3.83,9,Adjective
thin,3.83,1029,Adjective
undersea,3.83,40,Adjective
ablaze,3.82,21,Adjective
arched,3.82,9,Adjective
greasy,3.82,199,Adjective
intestinal,3.82,32,Adjective
muscular,3.82,79,Adjective
shuttered,3.82,2,Adjective
backpedal,3.81,2,Adjective
barbed,3.81,67,Adjective
crunchy,3.81,48,Adjective
damp,3.81,149,Adjective
dotted,3.81,51,Adjective
flatulent,3.81,11,Adjective
floppy,3.81,58,Adjective
lidless,3.81,2,Adjective
masked,3.81,120,Adjective
overcrowded,3.81,23,Adjective
quintuple,3.81,1,Adjective
runaway,3.81,207,Adjective
sectional,3.81,14,Adjective
skinless,3.81,11,Adjective
smooth,3.81,932,Adjective
unthawed,3.81,1,Adjective
foggy,3.8,66,Adjective
latticed,3.8,1,Adjective
onstage,3.8,104,Adjective
seamless,3.8,16,Adjective
unplugged,3.8,43,Adjective
circular,3.79,81,Adjective
crooked,3.79,290,Adjective
dusty,3.79,283,Adjective
flowered,3.79,17,Adjective
fossilized,3.79,11,Adjective
frayed,3.79,23,Adjective
iced,3.79,218,Adjective
ingest,3.79,23,Adjective
overnighter,3.79,3,Adjective
pale,3.79,409,Adjective
perfumed,3.79,34,Adjective
phosphorescent,3.79,6,Adjective
steaming,3.79,101,Adjective
unbleached,3.79,2,Adjective
colorful,3.78,163,Adjective
decomposed,3.78,24,Adjective
fluorescent,3.78,30,Adjective
jacketed,3.78,3,Adjective
neuromuscular,3.78,3,Adjective
sable,3.78,42,Adjective
wetter,3.78,24,Adjective
aflame,3.77,17,Adjective
corseted,3.77,1,Adjective
dry,3.77,2184,Adjective
fringed,3.77,3,Adjective
limbless,3.77,1,Adjective
stable,3.77,673,Adjective
syrupy,3.77,2,Adjective
tinkling,3.77,38,Adjective
unbaked,3.77,1,Adjective
black,3.76,8565,Adjective
blue,3.76,5222,Adjective
bumpy,3.76,190,Adjective
chubby,3.76,213,Adjective
coaxial,3.76,7,Adjective
cockeyed,3.76,77,Adjective
corrugated,3.76,10,Adjective
hard,3.76,15700,Adjective
legible,3.76,11,Adjective
porous,3.76,15,Adjective
rippling,3.76,30,Adjective
steep,3.76,125,Adjective
antique,3.75,309,Adjective
bushy,3.75,25,Adjective
carsick,3.75,31,Adjective
floral,3.75,37,Adjective
monogrammed,3.75,30,Adjective
backless,3.74,15,Adjective
erect,3.74,60,Adjective
explosive,3.74,271,Adjective
faint,3.74,473,Adjective
gelatinous,3.74,9,Adjective
jagged,3.74,29,Adjective
jerky,3.74,116,Adjective
outer,3.74,463,Adjective
pelvic,3.74,78,Adjective
septic,3.74,72,Adjective
thatched,3.74,5,Adjective
bronchial,3.73,17,Adjective
elastic,3.73,53,Adjective
stinky,3.73,182,Adjective
auburn,3.72,29,Adjective
bleached,3.72,49,Adjective
boneless,3.72,15,Adjective
breezy,3.72,40,Adjective
granulated,3.72,2,Adjective
musical,3.72,671,Adjective
pudgy,3.72,32,Adjective
spongy,3.72,12,Adjective
sunken,3.72,46,Adjective
trucking,3.72,53,Adjective
armless,3.71,4,Adjective
asleep,3.71,2541,Adjective
bladed,3.71,6,Adjective
crimping,3.71,3,Adjective
glassy,3.71,18,Adjective
nondrinking,3.71,1,Adjective
potted,3.71,24,Adjective
shaven,3.71,10,Adjective
slinky,3.71,49,Adjective
swampy,3.71,10,Adjective
testicular,3.71,31,Adjective
uninhabited,3.71,24,Adjective
wingless,3.71,2,Adjective
alpine,3.7,65,Adjective
blurry,3.7,70,Adjective
gummy,3.7,38,Adjective
mitochondrial,3.7,1,Adjective
obese,3.7,25,Adjective
overripe,3.7,3,Adjective
slushy,3.7,3,Adjective
stubby,3.7,25,Adjective
tattered,3.7,12,Adjective
caped,3.69,7,Adjective
chunky,3.69,71,Adjective
crisp,3.69,161,Adjective
drier,3.69,22,Adjective
fungal,3.69,15,Adjective
marbled,3.69,3,Adjective
scabby,3.69,18,Adjective
semisolid,3.69,1,Adjective
sunless,3.69,6,Adjective
canned,3.68,214,Adjective
elderly,3.68,209,Adjective
fainter,3.68,10,Adjective
fizzy,3.68,11,Adjective
floury,3.68,2,Adjective
humanoid,3.68,42,Adjective
potbellied,3.68,8,Adjective
tangy,3.68,17,Adjective
winged,3.68,58,Adjective
bony,3.67,61,Adjective
breathless,3.67,55,Adjective
calligraphic,3.67,1,Adjective
checkered,3.67,42,Adjective
flowering,3.67,14,Adjective
little,3.67,73766,Adjective
luminescent,3.67,3,Adjective
mountainous,3.67,8,Adjective
roasted,3.67,86,Adjective
silent,3.67,1173,Adjective
skeletal,3.67,24,Adjective
weedy,3.67,15,Adjective
big,3.66,34824,Adjective
handicapped,3.66,136,Adjective
hydraulic,3.66,58,Adjective
peppery,3.66,1,Adjective
unsweetened,3.66,1,Adjective
vaginal,3.66,66,Adjective
mossy,3.65,2,Adjective
neonatal,3.65,4,Adjective
offshore,3.65,115,Adjective
amphibious,3.64,30,Adjective
counterfeit,3.64,157,Adjective
deformed,3.64,66,Adjective
fetal,3.64,59,Adjective
gooey,3.64,39,Adjective
hornless,3.64,1,Adjective
indoor,3.64,68,Adjective
lukewarm,3.64,24,Adjective
malleable,3.64,5,Adjective
nonmetallic,3.64,4,Adjective
squishy,3.64,38,Adjective
terrorist,3.64,617,Adjective
trapezoidal,3.64,1,Adjective
wounded,3.64,992,Adjective
adjacent,3.63,68,Adjective
ambidextrous,3.63,12,Adjective
charred,3.63,38,Adjective
clumpy,3.63,15,Adjective
digital,3.63,275,Adjective
dingy,3.63,31,Adjective
mammary,3.63,9,Adjective
prepackaged,3.63,3,Adjective
sickbed,3.63,5,Adjective
steamy,3.63,46,Adjective
televised,3.63,42,Adjective
throbbing,3.63,60,Adjective
bagful,3.62,5,Adjective
comatose,3.62,50,Adjective
creamy,3.62,60,Adjective
dwarfish,3.62,2,Adjective
facial,3.62,293,Adjective
feathery,3.62,10,Adjective
flaccid,3.62,24,Adjective
onshore,3.62,11,Adjective
opaque,3.62,6,Adjective
overhand,3.62,13,Adjective
sheltered,3.62,53,Adjective
spinal,3.62,218,Adjective
stiff,3.62,523,Adjective
unwrinkled,3.62,3,Adjective
baggy,3.61,48,Adjective
chewable,3.61,4,Adjective
costumed,3.61,9,Adjective
flammable,3.61,36,Adjective
short,3.61,4367,Adjective
symmetrical,3.61,30,Adjective
webby,3.61,9,Adjective
armed,3.6,1164,Adjective
bruising,3.6,86,Adjective
candlelit,3.6,12,Adjective
esophageal,3.6,9,Adjective
waterproof,3.6,50,Adjective
wheezy,3.6,14,Adjective
armored,3.59,166,Adjective
blackened,3.59,16,Adjective
cervical,3.59,35,Adjective
drinkable,3.59,4,Adjective
full,3.59,8512,Adjective
habitant,3.59,1,Adjective
husky,3.59,81,Adjective
lumpy,3.59,89,Adjective
messy,3.59,350,Adjective
oblong,3.59,6,Adjective
reformatory,3.59,18,Adjective
ribbed,3.59,18,Adjective
sloping,3.59,18,Adjective
soluble,3.59,8,Adjective
speckled,3.59,20,Adjective
sticky,3.59,292,Adjective
suntanned,3.59,6,Adjective
triple,3.59,479,Adjective
upright,3.59,154,Adjective
commissary,3.58,29,Adjective
crateful,3.58,1,Adjective
fallopian,3.58,22,Adjective
humpy,3.58,3,Adjective
hypodermic,3.58,34,Adjective
legged,3.58,7,Adjective
pliable,3.58,7,Adjective
soaked,3.58,159,Adjective
windproof,3.58,1,Adjective
bristled,3.57,1,Adjective
gilded,3.57,35,Adjective
herbal,3.57,82,Adjective
hyphenated,3.57,7,Adjective
lacerated,3.57,25,Adjective
leaky,3.57,56,Adjective
monthly,3.57,152,Adjective
mushy,3.57,77,Adjective
overweight,3.57,93,Adjective
skinny,3.57,713,Adjective
stony,3.57,31,Adjective
upward,3.57,86,Adjective
wetted,3.57,1,Adjective
additive,3.56,11,Adjective
brittle,3.56,71,Adjective
busty,3.56,12,Adjective
chilly,3.56,220,Adjective
electric,3.56,874,Adjective
epidermal,3.56,10,Adjective
fleshy,3.56,29,Adjective
hatless,3.56,2,Adjective
inky,3.56,11,Adjective
lunar,3.56,105,Adjective
noisy,3.56,257,Adjective
nonorganic,3.56,1,Adjective
prostrate,3.56,21,Adjective
slender,3.56,38,Adjective
warm,3.56,2659,Adjective
waterlogged,3.56,7,Adjective
antifungal,3.55,1,Adjective
clear,3.55,8763,Adjective
edible,3.55,70,Adjective
marshy,3.55,3,Adjective
petite,3.55,54,Adjective
plumed,3.55,1,Adjective
powdery,3.55,5,Adjective
pulpy,3.55,3,Adjective
searing,3.55,16,Adjective
acidic,3.54,11,Adjective
backlit,3.54,4,Adjective
bacterial,3.54,37,Adjective
balsamic,3.54,8,Adjective
botanical,3.54,53,Adjective
branchy,3.54,1,Adjective
cylindrical,3.54,8,Adjective
horsey,3.54,42,Adjective
huge,3.54,2467,Adjective
knobby,3.54,4,Adjective
oaken,3.54,2,Adjective
overhanging,3.54,4,Adjective
revolving,3.54,51,Adjective
saggy,3.54,29,Adjective
scalded,3.54,19,Adjective
semiautomatic,3.54,21,Adjective
shorter,3.54,300,Adjective
sparkly,3.54,34,Adjective
unarmed,3.54,197,Adjective
warty,3.54,4,Adjective
bigger,3.53,2765,Adjective
concave,3.53,9,Adjective
cool,3.53,9990,Adjective
filthy,3.53,838,Adjective
mating,3.53,194,Adjective
unsigned,3.53,20,Adjective
alien,3.52,889,Adjective
barebacked,3.52,4,Adjective
bubbly,3.52,70,Adjective
cloudless,3.52,8,Adjective
flyaway,3.52,5,Adjective
gangrenous,3.52,9,Adjective
manned,3.52,66,Adjective
milky,3.52,95,Adjective
nearsighted,3.52,27,Adjective
nondairy,3.52,5,Adjective
patterned,3.52,12,Adjective
prophylactic,3.52,29,Adjective
ridged,3.52,2,Adjective
southeastern,3.52,9,Adjective
teary,3.52,4,Adjective
teenage,3.52,350,Adjective
tutoring,3.52,102,Adjective
veterinary,3.52,35,Adjective
wrinkly,3.52,17,Adjective
airsick,3.5,16,Adjective
anterior,3.5,48,Adjective
asymmetric,3.5,2,Adjective
bombproof,3.5,6,Adjective
communist,3.5,386,Adjective
cranial,3.5,39,Adjective
elliptical,3.5,12,Adjective
furrowed,3.5,4,Adjective
greener,3.5,55,Adjective
identical,3.5,282,Adjective
junior,3.5,1825,Adjective
lateral,3.5,78,Adjective
magnifying,3.5,49,Adjective
nonskid,3.5,1,Adjective
nonsurgical,3.5,1,Adjective
oriental,3.5,133,Adjective
serpentine,3.5,12,Adjective
shaded,3.5,8,Adjective
spermicidal,3.5,4,Adjective
stringy,3.5,21,Adjective
tearful,3.5,22,Adjective
textured,3.5,9,Adjective
uniformed,3.5,29,Adjective
unvarnished,3.5,6,Adjective
vacant,3.5,135,Adjective
wavy,3.5,28,Adjective
adolescent,3.48,94,Adjective
alkaline,3.48,16,Adjective
criminal,3.48,1758,Adjective
darkened,3.48,40,Adjective
drunk,3.48,3904,Adjective
glossy,3.48,24,Adjective
humid,3.48,45,Adjective
lactated,3.48,4,Adjective
moonlit,3.48,28,Adjective
rudderless,3.48,4,Adjective
soupy,3.48,12,Adjective
stale,3.48,149,Adjective
starless,3.48,2,Adjective
streaky,3.48,6,Adjective
vertical,3.48,141,Adjective
posterior,3.47,31,Adjective
tweeting,3.47,3,Adjective
beady,3.46,36,Adjective
buxom,3.46,5,Adjective
corneal,3.46,10,Adjective
funereal,3.46,1,Adjective
gray,3.46,1077,Adjective
high,3.46,9945,Adjective
horizontal,3.46,77,Adjective
meaty,3.46,18,Adjective
microscopic,3.46,58,Adjective
miniature,3.46,128,Adjective
putrid,3.46,32,Adjective
quivering,3.46,26,Adjective
reptilian,3.46,16,Adjective
rigid,3.46,95,Adjective
spindly,3.46,15,Adjective
withered,3.46,55,Adjective
airborne,3.45,215,Adjective
chocolaty,3.45,7,Adjective
clunky,3.45,18,Adjective
eldest,3.45,77,Adjective
elongated,3.45,16,Adjective
furless,3.45,1,Adjective
linear,3.45,28,Adjective
nutty,3.45,182,Adjective
oral,3.45,220,Adjective
pasty,3.45,31,Adjective
polygonal,3.45,2,Adjective
rotund,3.45,6,Adjective
shallow,3.45,301,Adjective
teenaged,3.45,8,Adjective
transsexual,3.45,27,Adjective
aquatic,3.44,28,Adjective
editorial,3.44,111,Adjective
flipping,3.44,149,Adjective
mass,3.44,880,Adjective
photoelectric,3.44,6,Adjective
ratty,3.44,36,Adjective
remote,3.44,713,Adjective
cartographic,3.43,2,Adjective
circulatory,3.43,23,Adjective
empty,3.43,2409,Adjective
fucking,3.43,16603,Adjective
globular,3.43,6,Adjective
painful,3.43,773,Adjective
polycarbonate,3.43,3,Adjective
recordable,3.43,2,Adjective
shattering,3.43,39,Adjective
stocky,3.43,9,Adjective
unburied,3.43,1,Adjective
unicellular,3.43,1,Adjective
unpolished,3.43,8,Adjective
urban,3.43,237,Adjective
yellowing,3.43,9,Adjective
airtight,3.42,57,Adjective
bendy,3.42,11,Adjective
birthing,3.42,28,Adjective
blubbery,3.42,3,Adjective
fireproof,3.42,8,Adjective
humongous,3.42,36,Adjective
insurgent,3.42,12,Adjective
onscreen,3.42,4,Adjective
preteen,3.42,9,Adjective
reddish,3.42,10,Adjective
russet,3.42,8,Adjective
snowbound,3.42,7,Adjective
unlit,3.42,3,Adjective
unsheathed,3.42,2,Adjective
beige,3.41,69,Adjective
childproof,3.41,10,Adjective
chinless,3.41,1,Adjective
derelict,3.41,40,Adjective
forked,3.41,14,Adjective
inflexible,3.41,8,Adjective
malted,3.41,14,Adjective
moisturizing,3.41,7,Adjective
moonless,3.41,4,Adjective
orthodontic,3.41,3,Adjective
safe,3.41,7303,Adjective
unchained,3.41,6,Adjective
uterine,3.41,18,Adjective
veiling,3.41,1,Adjective
geometric,3.4,23,Adjective
leathery,3.4,9,Adjective
magnetic,3.4,215,Adjective
shaky,3.4,151,Adjective
subterranean,3.4,33,Adjective
unburned,3.4,9,Adjective
unshackled,3.4,3,Adjective
binding,3.39,111,Adjective
electrical,3.39,440,Adjective
fungicidal,3.39,1,Adjective
grayish,3.39,5,Adjective
midsize,3.39,10,Adjective
nonalcoholic,3.39,6,Adjective
oscillating,3.39,7,Adjective
protestant,3.39,78,Adjective
shining,3.39,501,Adjective
venomous,3.39,27,Adjective
barrelful,3.38,7,Adjective
bespectacled,3.38,1,Adjective
colonialist,3.38,2,Adjective
deep,3.38,3896,Adjective
deteriorating,3.38,33,Adjective
frontal,3.38,96,Adjective
hotter,3.38,238,Adjective
hydroelectric,3.38,5,Adjective
paler,3.38,13,Adjective
soundproof,3.38,41,Adjective
toasty,3.38,34,Adjective
cavernous,3.37,3,Adjective
curvaceous,3.37,6,Adjective
depository,3.37,50,Adjective
double,3.37,3198,Adjective
drippy,3.37,10,Adjective
drooping,3.37,7,Adjective
gnarled,3.37,3,Adjective
heavy,3.37,2412,Adjective
large,3.37,2114,Adjective
misty,3.37,80,Adjective
outermost,3.37,4,Adjective
rectal,3.37,46,Adjective
refried,3.37,10,Adjective
unbroken,3.37,20,Adjective
upper,3.37,616,Adjective
bloated,3.36,86,Adjective
brassy,3.36,6,Adjective
buoyant,3.36,9,Adjective
chesty,3.36,14,Adjective
clearer,3.36,138,Adjective
creaking,3.36,142,Adjective
diseased,3.36,58,Adjective
electrostatic,3.36,10,Adjective
flowerless,3.36,1,Adjective
granular,3.36,2,Adjective
keyless,3.36,1,Adjective
mothproof,3.36,1,Adjective
tall,3.36,1649,Adjective
tusked,3.36,2,Adjective
unfastened,3.36,10,Adjective
arthritic,3.35,13,Adjective
curved,3.35,31,Adjective
eroding,3.35,19,Adjective
fragrant,3.35,36,Adjective
jellylike,3.35,1,Adjective
raw,3.35,519,Adjective
seminarian,3.35,1,Adjective
sheer,3.35,233,Adjective
afloat,3.34,85,Adjective
infrared,3.34,155,Adjective
intravascular,3.34,2,Adjective
knotty,3.34,7,Adjective
low,3.34,3016,Adjective
northernmost,3.34,3,Adjective
spotless,3.34,60,Adjective
undressed,3.34,123,Adjective
carpal,3.33,25,Adjective
confectionary,3.33,16,Adjective
convex,3.33,9,Adjective
curvy,3.33,10,Adjective
hydrogenated,3.33,7,Adjective
robotic,3.33,34,Adjective
roman,3.33,534,Adjective
shiny,3.33,398,Adjective
surplus,3.33,104,Adjective
undiluted,3.33,8,Adjective
unwrapped,3.33,20,Adjective
wintery,3.33,1,Adjective
active,3.32,584,Adjective
ashy,3.32,9,Adjective
awake,3.32,1362,Adjective
beltless,3.32,2,Adjective
bended,3.32,12,Adjective
clitoral,3.32,7,Adjective
collegiate,3.32,25,Adjective
droopy,3.32,26,Adjective
manmade,3.32,9,Adjective
monosyllabic,3.32,5,Adjective
overheated,3.32,23,Adjective
